Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
Sommerschule,521j037a,Independent Study,Manfred Klenner,"English, German",Sommerschule
"Filmanalyse, Gruppe A",255-001a,Seminar,Philipp Brunner,German,Introduction to the Methods in Film Studies
"Lehr- und Lernort Berufsfachschule, Teil 1: Unterrichtsfach Sport",090LLB1S,Seminar,Andreas Thoma,German,Unterrichtsgestaltung und Schulentwicklung an Berufsfachschulen
Fachdidaktik Chemie I,090Ch1,Course,Amadeus Bärtsch,German,Subject Didactics Chemistry I
Fachdidaktik Deutsch II,090Web2,Course,Christine Weber,German,Subject Didactics German II
Fachdidaktik Deutsch II,090Wam2,Course,Philippe Wampfler,German,Subject Didactics German II
Fachdidaktik Geographie III,090GG3,Lecture with Practical Exercises,Peter Abegglen,German,Subject Didactics Geography III
Fachdidaktik Geschichte III,090Ro3,Lecture with Practical Exercises,Urs Roemer,German,Subject Didactics History III
Fundamental Probability for Finance (I+II) (L),22MO0058,Course,Marc Paolella,English,Fundamental Probability for Finance (I+II) (L)
Statistical Foundations for Finance (Mathematical and Computational Statistics with a View,Finance22MO0103,Course,Marc Paolella,English,Statistical Foundations for Finance (Mathematical and Computational Statistics with a
Real Analysis I (L),22MO0194,Course,Marc Paolella,English,Real Analysis I (L)
Bilanzanalyse und internationale Rechnungslegung (S) (Financial statement analysis and,accounting22BO0039,Seminar,Oliver Köster,German,Bilanzanalyse und internationale Rechnungslegung (S) (Financial statement analysis
ME4: Accounting and Economics (L+E),22MO0004,Lecture with Practical Exercises,Robert F. Göx,English,ME4: Accounting and Economics (L+E)
Praxisfälle aus der Wirtschaftsprüfung (S) (Seminar: Selected Cases in Auditing),22MO0051,Seminar,Dieter Pfaff,German,Praxisfälle aus der Wirtschaftsprüfung (S) (Seminar: Selected Cases in Auditing)
Fallstudienseminar zu Transfer Pricing (S),22MO0098,Seminar,Dieter Pfaff,German,Fallstudienseminar zu Transfer Pricing (S)
Seminar zum Accounting: Controlling in Fallstudien,22MO0195,Seminar,Dieter Pfaff,German,Seminar zum Accounting: Controlling in Fallstudien
Allgemeine Pathologie,Z_PAT3.1,Course,Chantal Pauli,German,"Individual Examination Bachelor 3.1, theoretical, dental and medical Basics"
Okklusion und Unterkieferbewegungen,Z_KFS3.1,Course,Rengin Attin,German,"Individual Examination Bachelor 3.1, theoretical, dental and medical Basics"
Orale Pathologie,ZPATM1.1,Course,Franz E. Weber,German,"Individual Examination Master 1.1, theoretical, dental and medical Basics"
Propädeutischer Kurs in Okklusionsanalyse,Z_OKKL1,Exercise Group,Mutlu Özcan,German,Propaedeutic Course in Occlusion Analysis
OT Lecture: Mishnaic Hebrew and Early Rabbinic Literature,14SV021,Course,Iuliana Schrepfer,English,AT Vorlesung: Mischna-Hebräisch und frührabbinische Literatur
Computational Forensic Linguistics,521j528a,Course,Gerold Schneider,English,Computational Forensic Linguistics
Language Technology for Social Media Analysis,521j531a,Seminar,Martin Volk,English,Language Technology for Social Media Analysis
A Neuropsychological View on Speech and Language Disorders,521j534a,Seminar,Nathalie Régine Giroud Rickenbacher,English,A Neuropsychological View on Speech and Language Disorders
Summer School,521j536a,Independent Study,Manfred Klenner,English,Summer School
Frontiers in Social Neuroscience and Neuroeconomics (S),DOEC0068,Seminar,Carlos Alos-Ferrer,English,Frontiers in Social Neuroscience and Neuroeconomics (S)
Scientific programming for neuroeconomic experiments (S),DOEC0267,Seminar,Christian Ruff,English,Scientific programming for neuroeconomic experiments (S)
Non-Invasive Brain Stimulation for Neuroeconomics (S),DOEC0530,Seminar,Christian Ruff,English,Non-Invasive Brain Stimulation for Neuroeconomics (S)
Current Topics in Neuroeconomics and Decision Neuroscience (S),DOEC0634,Seminar,Christian Ruff,English,Current Topics in Neuroeconomics and Decision Neuroscience (S)
Vision Algorithms for Mobile Robotics (L+E),DINF2039,Lecture with Practical Exercises,Davide Scaramuzza,English,Vision Algorithms for Mobile Robotics (L+E)
Theorien der Multinationalen Unternehmung (S) (Theories of Multinational Corporation),22BO0059,Seminar,Andreas Scherer,German,Theorien der Multinationalen Unternehmung (S) (Theories of Multinational
Wissenschaftstheorie (V) (Philosophy of Science),22MO0054,Course,Andreas Scherer,German,Wissenschaftstheorie (V) (Philosophy of Science)
Seminar on Responsible Leadership (S),22MO0080,Seminar,Christian Vögtlin,English,Seminar on Responsible Leadership (S)
Current Topics in Management and Business Ethics (S) HS23,DOEC1099,Seminar,John Matthew Amis,English,Current Topics in Management and Business Ethics (S) HS23
Doktoranden- und Forschungsseminar (S) HS23 (Research Seminar HS23),DOEC1100,Seminar,Andreas Scherer,German,Doktoranden- und Forschungsseminar (S) HS23 (Research Seminar HS23)
Macroeconomics for Research Students Part I (Ph.D.) (L),DOEC0380,Course,Florian Scheuer,English,Macroeconomics for Research Students Part I (Ph.D.) (L+E)
Macroeconomics for Research Students Part I (Ph.D.) (E),DOEC0380,Exercise Group,Frederik Hermann Bennhoff,English,Macroeconomics for Research Students Part I (Ph.D.) (L+E)
Macro Reading Group (S),DOEC6125,Seminar,Florian Scheuer,English,Macro Reading Group (S)
Umwelt- und Ressourcenökonomik (V) (Environmental and Resource Economics),22BO0023,Course,Armin Rolf M. Schmutzler,German,Umwelt- und Ressourcenökonomik (V) (Environmental and Resource Economics)
Recent Developments in Competition Policy (S),22MO0074,Seminar,Armin Rolf M. Schmutzler,English,Recent Developments in Competition Policy (S)
Topics in Microeconomics (S) HS23,DOEC1101,Seminar,Nick Netzer,English,Topics in Microeconomics (S) HS23
Microeconomics Seminar (ETH/UZH) (S),DOEC6089,Seminar,Christian Ewerhart,English,Microeconomics Seminar (ETH/UZH) (S)
Wirtschaftsinformatik II (V+Ü) (Business Informatics II),22BI0005,Lecture with Practical Exercises,Gerhard Schwabe,German,Wirtschaftsinformatik II (V+Ü) (Business Informatics II)
Information Management (L+E),22MI0001,Lecture with Practical Exercises,Gerhard Schwabe,English,Information Management (L+E)
Enterprise IT-Architectures (L+E),22MI0012,Lecture with Practical Exercises,Hans-Peter Hoidn,English,Enterprise IT-Architectures (L+E)
Mediävistisches Praktikum,620j503a,Practical Training,N/A,German,Practical course
Research Colloquium Language &amp; Medicine,271G608a,Colloquium,Johannes Kabatek,English,Research Colloquium Language &amp; Medicine
Mikroökonomik I (V) (Microeconomics I),22AOEC03,Course,Ulf Zölitz,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Mikroökonomik I (Ü) (Microeconomics I),22AOEC03,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Mikroökonomik I (Ü) (Microeconomics I),22AOEC03,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Mikroökonomik I (Ü) (Microeconomics I),22AOEC03,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Mikroökonomik I (Ü) (Microeconomics I),22AOEC03,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Mikroökonomik I (Ü) (Microeconomics I),22AOEC03,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Mikroökonomik I (Ü) (Microeconomics I),22AOEC03,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Mikroökonomik I (Ü) (Microeconomics I),22AOEC03,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Mikroökonomik I (Ü) (Microeconomics I),22AOEC03,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Mikroökonomik I (Ü) (Microeconomics I),22AOEC03,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Mikroökonomik I (Ü) (Microeconomics I),22AOEC03,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Mikroökonomik I (Ü) (Microeconomics I),22AOEC03,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Mikroökonomik I (Ü) (Microeconomics I),22AOEC03,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mikroökonomik I (V+Ü) (Microeconomics I)
Einführung in das wissenschaftliche Arbeiten (Ü) (Introduction to scientific working),22BO0004,Exercise Group,Patricia Maria Katharina Pálffy,German,Einführung in das wissenschaftliche Arbeiten (Ü) (Introduction to scientific working)
Einführung in das wissenschaftliche Arbeiten (Ü) (Introduction to scientific working),22BO0004,Exercise Group,Patricia Maria Katharina Pálffy,German,Einführung in das wissenschaftliche Arbeiten (Ü) (Introduction to scientific working)
Doctoral Seminar Information Management,DINF1126,Seminar,Gerhard Schwabe,English,Doctoral Seminar Information Management
The Economics of Human Capital (S),22MO0100,Seminar,Carmit Segal,English,The Economics of Human Capital (S)
Change Management (L),22BO0032,Course,David Nils Otto Seidl,German,Change Management (L)
Case Studies: Organisationsberatung (mit Kooperationspartnern aus der Praxis) (S),22MO0050,Seminar,David Nils Otto Seidl,German,Case Studies: Organisationsberatung (mit Kooperationspartnern aus der Praxis) (S)
The Practice of Strategy (S),22MO0052,Seminar,Tania Ulrike Räcker,English,The Practice of Strategy (S)
"Organization, Management, and Theories of the Firm (S)",DOEC0348,Seminar,Andreas Scherer,English,"Organization, Management, and Theories of the Firm (S)"
Theorizing and Writing Qualitative Work - From data analysis to theorization HS23,DOEC1102,Seminar,David Nils Otto Seidl,English,Theorizing and Writing Qualitative Work - From data analysis to theorization HS23
Algorithmic Game Theory and Mechanism Design (L+E),22BMI002,Lecture with Practical Exercises,Sven Seuken,English,Algorithmic Game Theory and Mechanism Design (L+E)
Combinatorial Algorithms (L+E),22MI0018,Lecture with Practical Exercises,Alexander Offtermatt Souza,English,Combinatorial Algorithms (L+E)
Behavioral Theory (L),22MO0081,Course,Jakub Steiner,English,Behavioral Theory (L+E)
Behavioral Theory (E),22MO0081,Exercise Group,Juuso Matias Kiviranta,English,Behavioral Theory (L+E)
Computer Networks and Distributed Systems (L+E) (Kommunikationsnetze und Verteilte,22BI0006,Lecture with Practical Exercises,Burkhard Stiller,English,Computer Networks and Distributed Systems (L+E) (Kommunikationsnetze und
Seminar: Internet Economics (BSc),22BIS001,Seminar,Burkhard Stiller,English,Seminar: Internet Economics (BSc)
Protocols for Multi-media Communications (PMMK) (L+E),22MI0010,Lecture with Practical Exercises,Burkhard Stiller,English,Protocols for Multi-media Communications (PMMK) (L+E)
Communication Systems Lab Course (PR),22MI0021,Practical Training,Burkhard Stiller,English,Communication Systems Lab Course (PR)
Computer Network Security Principles,22MI0022,Lecture with Practical Exercises,Burkhard Stiller,English,Computer Network Security Principles
Seminar: Internet Economics (MSc),22MIS001,Seminar,Burkhard Stiller,English,Seminar: Internet Economics (MSc)
Introduction to Operations Research (L+E),22BO0010,Lecture with Practical Exercises,Tarkan Tan,English,Introduction to Operations Research (L+E)
Doing Research in Operations Management HS23,DOEC1110,Seminar,Christiane Barz,English,Doing Research in Operations Management HS23
Seminar: Blockchain Platforms (BSc),22BIS016,Seminar,Claudio Juan Tessone,English,Seminar: Blockchain Platforms (BSc)
Network Science (L+E),22MI0019,Lecture with Practical Exercises,Claudio Juan Tessone,English,Network Science (L+E)
Blockchain and Crypto Economics (L&amp;E),22MI0036,Lecture with Practical Exercises,Claudio Juan Tessone,English,Blockchain and Crypto Economics (L&amp;E)
Seminar: Blockchain Platforms (MSc),22MIS016,Seminar,Claudio Juan Tessone,English,Seminar: Blockchain Platforms (MSc)
PhD Seminar on Blockchain Research (S),DINF1138,Seminar,Claudio Juan Tessone,English,PhD Seminar on Blockchain Research (S)
"digital social sciences: AI, Text2Data and Applied Economics (S)",DOEC6116,Seminar,Hans-Joachim Voth,English,"digital social sciences: AI, Text2Data and Applied Economics (S)"
Zurich GSE Placement Class (V),DOEC6121,Course,Hans-Joachim Voth,English,Zurich GSE Placement Class (V)
Gr 1 La langue française sur l'axe diac,390-009a,Seminar,Martin-Dietrich Glessgen,French,Core Areas
Gr 2 La langue française sur l'axe diac,390-009a,Seminar,Seraina Montigel,French,Core Areas
Corporate Finance (L+E),22BO0008,Lecture with Practical Exercises,Zacharias Sautner,German,Corporate Finance (L+E)
"Langue française (niveau moyen), groupe 1",390-010a,Language Course,Marie Elisabeth Thérése Burkhardt,French,French Language (Medium degree)
Finance with Excel (S),22BO0016,Seminar,Sandro Braun,German,Finance with Excel (S)
Business- &amp; Finance-Game (S),22BO0018,Seminar,Johanna Braun,German,Business- &amp; Finance-Game (S)
Unternehmensberichterstattung und Corporate Governance (S) (Value Reporting and,22BO0019,Seminar,Alexander Florian Wagner,German,Unternehmensberichterstattung und Corporate Governance (S) (Value Reporting and
"Langue française (niveau moyen), groupe 2",390-010a,Language Course,Dagmar Wieser,French,French Language (Medium degree)
Aktuelle Trends im Private Banking (S) (Current Trends in Private Banking),22BO0052,Seminar,Christian Georg Bührer,German,Aktuelle Trends im Private Banking (S) (Current Trends in Private Banking)
Seminar Corporate Governance (S),22MO0041,Seminar,Christoph Wenk Bernasconi,English,Seminar Corporate Governance (S)
Interdisziplinäres Seminar Mergers and Acquisitions (Interdisciplinary seminar mergers,22MO0048,Seminar,Hans-Ueli Vogt,German,Interdisziplinäres Seminar Mergers and Acquisitions (Interdisciplinary seminar mergers
Unternehmensbewertung in der Praxis (S) (Valuation in practice),22MO0049,Seminar,Alexander Florian Wagner,German,Unternehmensbewertung in der Praxis (S) (Valuation in practice)
Corporate Finance (L),DFOEC007,Course,Kjell G. Nyborg,English,Corporate Finance (L)
Partie I: Production écrite / compréhension écrite / grammaire (groupe 1),crite,compréhension écrite,Cyril Dubois,French,French Language (C1)
Advanced Microeconomics I (L),22MO0012,Course,Roberto A. Weber,English,Advanced Microeconomics I (L+E)
Partie I: Production écrite / compréhension écrite / grammaire (groupe 2),crite,compréhension écrite,Cyril Dubois,French,French Language (C1)
Advanced Microeconomics I (E),22MO0012,Exercise Group,Lorenzo Arcà,English,Advanced Microeconomics I (L+E)
Grundlagen Interdisziplinären Arbeitens,683-001a,Lecture with Practical Exercises,Philippe Della Casa,"German, English",Principles of interdisciplinary work
Basiswissen Interdisziplinäre Archä_ften,683-002a,Seminar,Niels Bleicher,German,Basics in IAS
Externes Praktikum IAW,683-005a,Practical Training,Rouven Turck,German,Professional traineeship
Wissenschaftliches Zeichnen,683j004a,Exercise Group,Oliver Bruderer,German,Visual Documentation
Fachwissenschaftlich-fachdidaktische Vertiefung in Deutsch,090FWVD1,Seminar,André Bucher,German,Advances in didactics of German language teaching
Advanced Microeconomics I (E),22MO0012,Exercise Group,Lorenzo Arcà,English,Advanced Microeconomics I (L+E)
Introductory Maths Course (L+E),DOEC0447,Lecture with Practical Exercises,Agustina Colonna,English,Introductory Maths Course (L+E)
Experimental and Behavioral Economics Seminar (S),DOEC0524,Seminar,Björn Bartling,English,Experimental and Behavioral Economics Seminar (S)
PhD Course: Behavioral Economics (L),DOEC0802,Course,Roberto A. Weber,English,PhD Course: Behavioral Economics (L)
Programming Practices for Research in Economics (L),DOEC0879,Lecture with Practical Exercises,Wirtschaftswiss. Fakultät N.N.-Dozent,English,Programming Practices for Research in Economics (L)
Zurich GSE Research Seminar HS23,DOEC1103,Seminar,Wirtschaftswiss. Fakultät N.N.-Dozent,English,Zurich GSE Research Seminar HS23
Techniques de la traduction (B2/C1),390-013a,Language Course,Dagmar Wieser,German,French Language (B2/C1) - Translation (German-French)
Zurich GSE Short Course HS23,DOEC1104,Seminar,Wirtschaftswiss. Fakultät N.N.-Dozent,English,Zurich GSE Short Course HS23
Zurich GSE Advanced Research Seminar HS23,DOEC1105,Seminar,Wirtschaftswiss. Fakultät N.N.-Dozent,English,Zurich GSE Advanced Research Seminar HS23
Faculty Research for Graduate Students (S),DOEC6110,Seminar,Wirtschaftswiss. Fakultät N.N.-Dozent,English,Faculty Research for Graduate Students (S)
Einführung in die empirische Wirtschaftsforschung (V) (Introductory Econometrics),22BO0002,Course,Rainer Winkelmann,German,Einführung in die empirische Wirtschaftsforschung (V+Ü) (Introductory Econometrics)
Einführung in die empirische Wirtschaftsforschung (Ü) (Introductory Econometrics),22BO0002,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Einführung in die empirische Wirtschaftsforschung (V+Ü) (Introductory Econometrics)
Einführung in die empirische Wirtschaftsforschung (Ü) (Introductory Econometrics),22BO0002,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Einführung in die empirische Wirtschaftsforschung (V+Ü) (Introductory Econometrics)
Einführung in die empirische Wirtschaftsforschung (Ü) (Introductory Econometrics),22BO0002,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Einführung in die empirische Wirtschaftsforschung (V+Ü) (Introductory Econometrics)
Einführung in die empirische Wirtschaftsforschung (Ü) (Introductory Econometrics),22BO0002,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Einführung in die empirische Wirtschaftsforschung (V+Ü) (Introductory Econometrics)
Einführung in die empirische Wirtschaftsforschung (Ü) (Introductory Econometrics),22BO0002,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Einführung in die empirische Wirtschaftsforschung (V+Ü) (Introductory Econometrics)
Meta-Analysis (S),22MO0092,Seminar,Rainer Winkelmann,English,Meta-Analysis (S)
Exercices de rédaction universitaire,390-014a,Exercise Group,Marine Borel,French,Academic Writing (French)
La grammaire en linguistique,390-503a,Seminar,Tabea Ihsane,French,French as a Foreign Language
Aktuelle Probleme der Schweizer Wirtschaftspolitik (Current Issues in Swiss Economic,22BO0040,Course,Tobias Straumann,German,Aktuelle Probleme der Schweizer Wirtschaftspolitik (V) (Current Issues in Swiss
Ideengeschichte &amp; Wissenschaftsphilosphie (V+Ü) History of Economic Thought (L,22BO0057,Lecture with Practical Exercises,Ulrich Woitek,German,Ideengeschichte &amp; Wissenschaftsphilosphie (V+Ü) History of Economic Thought
La grammaire en pratique,390-503a,Exercise Group,Marine Borel,French,French as a Foreign Language
La Révolution française et les langues de France,390-505a,Seminar,Martin-Dietrich Glessgen,French,Gallo-Romance Historical Linguistics
Intermediate Statistics (L),22MO0059,Course,Michael Wolf,English,Intermediate Statistics (L+E)
Intermediate Statistics (E),22MO0059,Exercise Group,Elliot Leeroy Beck,English,Intermediate Statistics (L+E)
Econometrics Seminar,DOEC6120,Seminar,Rainer Winkelmann,English,Econometrics Seminar
"Langue française (C2), volet 2",390-508a,Language Course,Marine Borel,French,French Language (C2)
Fortgeschrittene Mikroökonomik für die BWL (V) (Advanced Microeconomics for Business,22MO0005,Course,Thorsten Hens,German,Fortgeschrittene Mikroökonomik für die BWL (V+Ü) (Advanced Microeconomics for
Fortgeschrittene Mikroökonomik für die BWL (Ü) (Advanced Microeconomics for Business,22MO0005,Exercise Group,Ester Maria Hildburg Trutwin,German,Fortgeschrittene Mikroökonomik für die BWL (V+Ü) (Advanced Microeconomics for
Empirical Microeconomics Seminar (S),DOEC6111,Seminar,David Dorn,English,Empirical Microeconomics Seminar (S)
Arbeitsmarktökonomik (V) (Labor economics),22BO0047,Course,Josef Zweimüller,German,Arbeitsmarktökonomik (V + Ü) (Labor economics)
Arbeitsmarktökonomik (Ü) (Labor economics),22BO0047,Exercise Group,Lukas Johannes Rodrian,German,Arbeitsmarktökonomik (V + Ü) (Labor economics)
Advanced Macroeconomics (L),22MO0011,Course,Josef Zweimüller,English,Advanced Macroeconomics (L+E)
Advanced Macroeconomics (E),22MO0011,Exercise Group,Ingrid Marie Louise Löfman,English,Advanced Macroeconomics (L+E)
"Führung u.Organisation im Team, praktisches Projektmanagement (Team Leadership and",22BO0033,Seminar,Fabienne Kiener,German,Führung und Organisation im Team - praktisches Projektmanagement (S) (Team
ME1: Personnel Economics (L+E),22MO0001,Lecture with Practical Exercises,Patrick Lehnert,English,ME1: Personnel Economics (L+E)
Teamführung und praktische Anleitung zum wissenschaftlichen Arbeiten (Vertiefung) (S),22MO0105,Seminar,Simone Tuor Sartore,German,Teamführung und praktische Anleitung zum wissenschaftlichen Arbeiten (Vertiefung)
"Unternehmenskommunikation – Theoretische Grundlagen, Fallstudien, Rollenspiele und",DOEC0657,Seminar,Andrea Susanne Hildegard Timmesfeld,German,"Unternehmenskommunikation – Theoretische Grundlagen, Fallstudien, Rollenspiele"
Machine Learning with Python for Education and Personnel Economists,DOEC0918,Seminar,Michael Rose,English,Machine Learning with Python for Education and Personnel Economists (S)
Business Economics Research Seminar (S) HS23,DOEC1107,Seminar,Helmut Max Dietl,English,Business Economics Research Seminar (S) HS23
Discussion workshop: Personnel economics and economics of education (S) HS23,DOEC1109,Seminar,Ursula Backes-Gellner,English,Discussion workshop: Personnel economics and economics of education (S) HS23
Seminar: Paradigmen der Informatik (BSc),22BIS005,Seminar,Lorenz Manuel Hilty,German,Seminar: Paradigmen der Informatik (BSc)
Digitalization and Sustainable Development (V),22MI0013,Course,Lorenz Manuel Hilty,English,Digitalization and Sustainable Development (V)
Essentials in Text and Speech Processing,521-900a,Course,Mathias Müller,English,Essentials in Text and Speech Processing
Leadership (L),22MO0193,Course,Jochen Menges,English,Leadership (L)
HRM and Organizational Behavior (L+E),22BO0050,Course,Jochen Menges,English,HRM and Organizational Behavior (L+E)
HRM and Organizational Behavior (L+E),22BO0050,Exercise Group,Jochen Menges,English,HRM and Organizational Behavior (L+E)
Contemporary Readings on Behavior in Organizations (S) HS23,DOEC1095,Seminar,Jochen Menges,English,Contemporary Readings on Behavior in Organizations (S) HS23
"Ecritures du masculin: grammaire, linguistique, littérature",390-509a,Exercise Group,Dagmar Wieser,French,Style Practice
Re-examination International Macroeconomics,22MO0013,Examination,Mathias Hoffmann,English,International Macroeconomics (L+E)
Re-examination Advanced Financial Economics,22MO0016,Examination,Felix Egbert Kübler,English,Advanced Financial Economics (L+E)
Re-examination Advanced Microeconomics II,22MO0014,Examination,Andreas Hefti,English,Advanced Microeconomics II (L+E)
Mathematik I (V) (Mathematics I),22AOEC04,Course,Christiane Barz,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Mathematik I (Ü) (Mathematics I),22AOEC04,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Mathematik I (V+Ü) (Mathematics I)
Voyages et transports dans la littérature francophone du XIXe au XXIe siècle,390j027a,Exercise Group,Antony Kussmaul,French,Voyages and Transports in the Francophone Literature of the 19th and 20th Centuries
Informatics I (L+E) (Informatik I),22AINF02,Lecture with Practical Exercises,Harald Gall,English,Informatics I (L+E) (Informatik I)
Tous les dragons sont verts. Petite introduction au bestiaire médiéval,390j026a,Course,Richard Trachsler,French,All Dragons are Green. A Brief Introduction to Medieval Bestiaries
Financial Accounting (L),22AOEC02,Course,David Oesch,German,Financial Accounting (L + E)
Lexicographie diachronique galloromane,390j025a,Course,Hélène Carles,French,Diachronic Lexicography of Gallo-Romance
Financial Accounting (E),22AOEC02,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Financial Accounting (L + E)
Financial Accounting (E),22AOEC02,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Financial Accounting (L + E)
Financial Accounting (E),22AOEC02,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Financial Accounting (L + E)
Financial Accounting (E),22AOEC02,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Financial Accounting (L + E)
Financial Accounting (E),22AOEC02,Exercise Group,Wirtschaftswiss. Fakultät N.N.-Dozent,German,Financial Accounting (L + E)
Betriebswirtschaftslehre I (V) (Business Administration I),22AOEC01,Course,Martin Natter,German,Betriebswirtschaftslehre I (V + Ü) (Business Administration I)
Betriebswirtschaftslehre I (Ü) (Business Administration I),22AOEC01,Exercise Group,Malin Sophie Pimper,German,Betriebswirtschaftslehre I (V + Ü) (Business Administration I)
Betriebswirtschaftslehre I (Ü) (Business Administration I),22AOEC01,Exercise Group,Ruedi Ergenzinger,German,Betriebswirtschaftslehre I (V + Ü) (Business Administration I)
Betriebswirtschaftslehre I (Ü) (Business Administration I),22AOEC01,Exercise Group,Roman Gibel,German,Betriebswirtschaftslehre I (V + Ü) (Business Administration I)
Betriebswirtschaftslehre I (Ü) (Business Administration I),22AOEC01,Exercise Group,Dana Olga Entenza Tilves,German,Betriebswirtschaftslehre I (V + Ü) (Business Administration I)
Betriebswirtschaftslehre I (Ü) (Business Administration I),22AOEC01,Exercise Group,Ruedi Ergenzinger,German,Betriebswirtschaftslehre I (V + Ü) (Business Administration I)
Betriebswirtschaftslehre I (Ü) (Business Administration I),22AOEC01,Exercise Group,Ruedi Ergenzinger,German,Betriebswirtschaftslehre I (V + Ü) (Business Administration I)
Betriebswirtschaftslehre I (Ü) (Business Administration I),22AOEC01,Exercise Group,Sybilla Merian,German,Betriebswirtschaftslehre I (V + Ü) (Business Administration I)
L'expression de la douleur dans des textes littéraires du 16e au 21e siècle,390j023a,Course,Christina Vogel,French,The expression of pain in literary texts from the 16th to the 21st century
