Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
Schriftliche Arbeit zur Sprachentwicklung,272-012a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Language Development
Schriftliche Arbeit zu Sprache im Kontext,272-020a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Language in Context
Projektarbeit,272-520a,Sonstiges,N/A,"German, English",Assessed Work
Doktoratskolloquium (Dusinberre),600G118a,Colloquium,Martin Dusinberre,German,Doctoral Colloquium (Dusinberre)
Capstone: StatGuide – creating a digital platform for personalized methods education,615l603a,Seminar,Florian Attinger,English,Capstone: StatGuide – creating a digital platform for personalized methods education
Bachelorarbeit,360-BAa,Bachelor Paper,N/A,German,Bachelor's Thesis
Masterarbeit,360-MAa,Master Paper,N/A,German,Master's Thesis
Bachelorarbeit,370-BAa,Bachelor Paper,N/A,German,Bachelor's Thesis
Masterarbeit,370-MAa,Master Paper,N/A,German,Master's Thesis
Mechanismen der kindlichen Sprachentwicklung,272-507a,Seminar,N/A,"German, English",Mechanisms in Child Language Development
Linguistische Theorie in evolutionärer Perspektive,272-510a,Seminar,N/A,"German, English",Linguistic Theory in Evolutionary Perspective
Statistische Modellierung der Sprachdynamik,272-506a,Exercise Group,N/A,"German, English",Statistical Modeling of Language Dynamics
Feldforschung: Elizitationstechniken,272-513a,Exercise Group,N/A,"German, English",Field Methods: Elicitation Techniques
Strukturen in Sprachfamilien und Spracharealen,272-517a,Seminar,N/A,"German, English",Structures in Language Families and Areas
Sprache und Kognition,272-524a,Seminar,N/A,"German, English",Language and Cognition
Sprachverarbeitung,272-525a,Seminar,N/A,"German, English",Language Processing
Forschungskolloquium (Condrau),600-517a,Colloquium,Flurin Condrau,"German, English",Research Colloquium 1
Forschungskolloquium (Lin),600-517a,Colloquium,Yi-Tang Lin,English,Research Colloquium 1
Forschungskolloquium (Dusinberre),600-517a,Colloquium,Martin Dusinberre,English,Research Colloquium 1
Excursion:EastAsianArtCollectionsin the Netherlands,642l031a,Field Trip,Ewa Machotka,"English, German",Excursion:East Asian Art Collections in the Netherlands
Bachelorarbeit,640-BAa,Bachelor Paper,Bärbel Küster,German,Bachelor's Thesis
Masterarbeit,640-MAa,Master Paper,N/A,German,Master's Thesis
Masterarbeit,642-MAa,Master Paper,N/A,German,Master's Thesis
Masterarbeit,645-MAa,Master Paper,N/A,German,Master's Thesis
"Klinischer Kurs: Einblick in die Anästhesie am Stadtspital Zürich, Triemli",ANA24001,Kurs,Nicole Hilber,German,Klinischer Kurs: Einblick in die Anästh
LERU Theology &amp; Religious Studies Group,14SS042,Seminar,Konrad Schmid,English,LERU Theology &amp; Religious Studies Group
Von van Eyck bis Rubens. Flämische Malerei im räumlichen Kontext,640l047a,Field Trip,David Ganz,German,From van Eyck to Rubens. Flemish painting in a spatial context
Dialogues on Art and Modernism in Brazil,645l511a,Exercise Group,Charlotte Matter,English,Dialogues on Art and Modernism in Brazil
KU-UZH Joint Workshop in East Asian ArtHistory 2024,642l032a,Praktikum,Ewa Machotka,English,KU-UZH Joint Workshop in East Asian Art History 2024
Mantelstudium: Schwerpunkt ChiropraktikI A,MAS1110,Lecture with Practical Exercises,Mirjam Baechler,German,Elective Module: Focus on chiropractic I A
MCM2a: Röntgen- Grundlagen und Theorie,CPRA224,Course,Tobias Reckling,German,"Chiropractic Courses MCM2a: Chiro Tech, NMS Diagnosis, Clin. Problem Solving,"
