Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
Allgemeine Ethik (Koch),160-014a,Selbststudium mit Leistungsnachweis,Felix Koch,German,Normative ethics,N/A,N/A,N/A,N/A
Allgemeine Ethik (Schmidt),160-014a,Selbststudium mit Leistungsnachweis,Sebastian Schmidt,German,Normative ethics,N/A,N/A,N/A,N/A
Politische Philosophie (Page),160-015a,Selbststudium mit Leistungsnachweis,Jennifer Page,German,Political philosophy,N/A,N/A,N/A,N/A
Politische Philosophie (Surber),160-015a,Selbststudium mit Leistungsnachweis,Regina Surber,German,Political philosophy,N/A,N/A,N/A,N/A
Politische Philosophie (Kim),160-015a,Selbststudium mit Leistungsnachweis,Hwa Young Kim,German,Political philosophy,N/A,N/A,N/A,N/A
Politische Philosophie (Dayer-Tieffenbach),160-015a,Selbststudium mit Leistungsnachweis,Emma Dayer,German,Political philosophy,N/A,N/A,N/A,N/A
Berufspraktikum,EEE301,Praktikum extern,Claudia Hegglin Braun,German,EEE 301 Work Placement,N/A,N/A,N/A,N/A
Master Thesis in Biodiversity,EEE500,Master Paper,Arpat Ozgul,English,EEE 500 Master Thesis in Biodiversity,N/A,N/A,N/A,N/A
Politische Philosophie (Koch),160-015a,Selbststudium mit Leistungsnachweis,Felix Koch,German,Political philosophy,N/A,N/A,N/A,N/A
Metaphysik (Glock),160-016a,Selbststudium mit Leistungsnachweis,Hans-Johann Glock,German,Metaphysics,N/A,N/A,N/A,N/A
Metaphysik (Meylan),160-016a,Selbststudium mit Leistungsnachweis,Anne Meylan,German,Metaphysics,N/A,N/A,N/A,N/A
Metaphysik (Saporiti),160-016a,Selbststudium mit Leistungsnachweis,Katia Saporiti,German,Metaphysics,N/A,N/A,N/A,N/A
Metaphysik (Berthold),160-016a,Selbststudium mit Leistungsnachweis,Jürg Berthold,German,Metaphysics,N/A,N/A,N/A,N/A
Metaphysik (Doguoglu),160-016a,Selbststudium mit Leistungsnachweis,Ulvi Doguoglu,German,Metaphysics,N/A,N/A,N/A,N/A
Erkenntnistheorie (Glock),160-017a,Selbststudium mit Leistungsnachweis,Hans-Johann Glock,German,Epistemology,N/A,N/A,N/A,N/A
Erkenntnistheorie (Meylan),160-017a,Selbststudium mit Leistungsnachweis,Anne Meylan,German,Epistemology,N/A,N/A,N/A,N/A
Erkenntnistheorie (Saporiti),160-017a,Selbststudium mit Leistungsnachweis,Katia Saporiti,German,Epistemology,N/A,N/A,N/A,N/A
Erkenntnistheorie (Doguoglu),160-017a,Selbststudium mit Leistungsnachweis,Ulvi Doguoglu,German,Epistemology,N/A,N/A,N/A,N/A
Erkenntnistheorie (Schmidt),160-017a,Selbststudium mit Leistungsnachweis,Sebastian Schmidt,German,Epistemology,N/A,N/A,N/A,N/A
