Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
Focus Small Animals,.494_skt,Block Course,Jean-Michel Hatt,"German, English",Focus Small Animals
Focus Farm Animals,.495_snt,Block Course,Heinrich Bollwein,German,Focus Farm Animals
Focus Horses,.496_spf,Block Course,Heinrich Bollwein,German,Focus Horses
"Laboratory, career profiles",.498_1lb,Block Course,Max Gassmann,German,Introduction in focus pathobiology and veterinary public health
"Basics of animal disease diagnostics, laboratory work, animal nutrition",.498_2lt,Block Course,Annette Liesegang,German,Introduction in focus pathobiology and veterinary public health
"Basics in laboratory methods, data analysis",.498_3ld,Block Course,Roger Stephan,German,Introduction in focus pathobiology and veterinary public health
Veterinary research and diagnostic topics,.498_4fd,Block Course,Brigitta Wichert Gruber,German,Introduction in focus pathobiology and veterinary public health
Focus Biomedical Research,.499_bmf,Block Course,Thorsten Buch,"German, English",Focus Biomedical Research
Master Thesis,.500_ma,Student Work,N/A,German,Master Thesis
Specific Project Discussion at DMMD,FWB105,Colloquium,Raffaella Santoro,German,Specific Project Discussion at DMMD
FTVT-Course,FWB81,Exercise Group,Dolf Kümmerlen,German,FTVT-Course
CABMM Scientific Seminar,FWB82,Exercise Group,N/A,German,CABMM Scientific Seminar
Further Training Pathology: Oncology,FWB86,Seminar,Franco Guscetti,German,Further Training Pathology: Oncology
Further Training Pathology: Internal Medicine of Domestic Animals,FWB87,Seminar,Franco Guscetti,German,Further Training Pathology: Internal Medicine of Domestic Animals
Foundations of Anatomy,.163_ga,Lecture with Practical Exercises,Mariusz Pawel Kowalewski,German,Foundations of Anatomy
Mantelstudium: Gesundheitserfahrungen interprofessionell,22MAS012,Course,Nikola Biller-Andorno,German,Elective Module: Health Experiences Interprofessional
Literature Seminar on Small Animal Reproction,FWB94,Seminar,Sebastian Patrick Arlt,German,Literature Seminar on Small Animal Reproduction
"""Digital History"" - neue Methoden für die Geschichtswissenschaft? (Fortsetzung aus HS23)",600-001a,Seminar,N/A,German,Methods and Theories
"Lordship, kingship and empire in the central middle ages (Fortsetzung aus HS23)",600-001a,Seminar,N/A,English,Methods and Theories
Ganz oben. Top wealth and the 1% in Switzerland since 1890 (Fortsetzung aus HS23),600-601a,Seminar,N/A,German,Social History and Economic History of the Modern World
Dienst und Care im Spätmittelalter (Fortsetzung aus HS23),600-512a,Seminar,N/A,German,Politics and Societies in the Medieval Period
History Writing and the Anthropocene: Earth Archives and Deep Pasts (Fortsetzung aus,600-516a,Seminar,N/A,German,Methods and Theories
Islands of History: Hawai‘i as Method (Fortsetzung aus HS23),600-516a,Seminar,N/A,German,Methods and Theories
Imperien: Politik und Gesellschaft von den Persern bis zu den Arabern (Fortsetzung aus,602-501a,Seminar,Felix Klaus Maier,German,Politics and Societies in the Ancient World
"Kolloquium für anwendungsorientierte, gynäkologische Forschung",GYN23001,Seminar,Manuel Stucki,German,"Kolloquium für anwendungsorientierte, gynäkologische Forschung"
Modernchinesisch: Schrift und Schreiben (Intensivkurs),280-011b,Language Course,Xiaobin Hu,Chinese,Modern Chinese: Script and Writing
Dis/abled. Behinderung in der Moderne (Seminar mit begleitetem Forschungsprozess):,HS23600-023a,Seminar,Marietta Meier,German,Modern History 9
Soziologische Theorie (Teil 2),240-002a,Course,Jörg Rössel,German,Sociological Theory
(Wiederholungsprüfung) Soziologische Theorie,240-002a,Examination,Jörg Rössel,German,Sociological Theory
"Forschungsseminar Lebenslauf und Generationen (Teil 2, Fortsetzung aus HS23)",240-502a,Seminar,Marc Szydlik,German,Research Seminar Life Course and Generations
Masterprüfung,GEO512.1,Student Work,Christian Berndt,German,GEO 512 Master Exam
Übungen Gesellschaftliche und natürliche Ressourcen: Gruppe 1-4,GEO122.2,PHZH SEK I Module,Asebe Regassa Debelo,German,GEO 122 Human Geography II: Societal and natural resources
Geographie der Schweiz,GEO126.1,Lecture with Practical Exercises,Karin Schwiter,German,GEO 126 Geography of Switzerland
"Research Colloquium Space, Nature and Society (for MSc and PhD Students)",GEODIPL,Colloquium,Norman Backhaus,"German, English",GEO 511 Master Thesis
Spatial Algorithms,GEO877.1,Lecture with Practical Exercises,Ross Stuart Purves,English,GEO 877 Spatial Algorithms
Masterprüfung,GEO512.1,Student Work,Christian Berndt,German,GEO 512 Master Exam
Research Colloquium Physical Geography (for MSc and PhD Students),GEODIPL,Colloquium,Michael W.I. Schmidt,German,GEO 511 Master Thesis
Snow and Avalanches: Processes and Risk Management,GEO857.1,Course,N/A,English,GEO 857 Snow and Avalanches: Processes and Risk Management
Introduction to Cartography and Geovisualisation,GEO123.1,Course,Sara Irina Fabrikant,German,GEO 123  Geographic Information Science and Remote Sensing II
The high-mountain cryosphere: processes and risks,GEO856.1,Course,Christian Huggel,English,GEO 856 The high-mountain cryosphere: processes and risks
Colloquium in Remote Sensing,GEO441.1,Colloquium,Alexander Damm-Reiser,English,GEO 441 Remote Sensing A: Seminar
Praktikum Tree-Ring Ecophysiological Research,GEO818.2,Lecture with Practical Exercises,Paolo Cherubini,German,GEO 818 Dendro-Ecology
"Übungen Physische Geographie II, Gruppe 1",GEO121.4,Field Trip,Jan Martin Rudolf Seibert,German,GEO 121 Physical Geography II
"Übungen Physische Geographie II, Gruppe 2",GEO121.4,Field Trip,Jan Martin Rudolf Seibert,German,GEO 121 Physical Geography II
"Übungen Physische Geographie II, Gruppe 3",GEO121.4,Field Trip,Jan Martin Rudolf Seibert,German,GEO 121 Physical Geography II
Grundlagen Boden-Pflanze-Umwelt,GEO241.1,Course,Michael W.I. Schmidt,German,GEO 241 Physical Geography IV
Einführung in die Übungen: Humangeographische Methoden der Datenerhebung,GEO242.1,Course,Karin Schwiter,German,GEO 242 Human Geography IV
International Geochronolgy Summer School,GEODIPL,Block Course,Markus Egli,German,International Geochronolgy Summer School
"Übungen zu Humangeographischen Methoden der Datenerhebung, Gruppe 1",GEO242.2,Exercise Group,Karin Schwiter,German,GEO 242 Human Geography IV
Statistik in der Geographie,GEO246.1,Course,Maarten Eppinga,German,GEO 246 Statistics
"Übungen zur Statistik in der Geographie, Gruppe 1",GEO246.2,Exercise Group,Maarten Eppinga,German,GEO 246 Statistics
"Übungen zur Statistik in der Geographie, Gruppe 2",GEO246.2,Exercise Group,Maarten Eppinga,German,GEO 246 Statistics
"Übungen zur Statistik in der Geographie, Gruppe 3",GEO246.2,Exercise Group,Maarten Eppinga,German,GEO 246 Statistics
Research Colloquium for Geographic Information Science,GEODIPL,Colloquium,Sara Irina Fabrikant,German,GEO 511 Master Thesis
Small Group Teaching,GEO199.1,Seminar,Meredith Christine Schuman,German,GEO 199 Small Group Teaching
Field studies on high mountain processes: Preparatory seminar,GEO411.1,Practical Training,Andreas Vieli,English,GEO 411 Field studies on high mountain processes
