Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Concentration Animal Behaviour,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Single Major 90 Biomedicine,English,,Faculty of Science,Thierry Hennet,Sabine Jacob Sempach,Master of Science Faculty of Science (90) (2021)
Concentration Anthropology,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Major 90 Information Systems,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Master of Science UZH in Informatics (RVO22)
Major 90 Software Systems,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Master of Science UZH in Informatics (RVO22)
Major 90 People-Oriented Computing,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Master of Science UZH in Informatics (RVO22)
Major 90 Artificial Intelligence,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Master of Science UZH in Informatics (RVO22)
Major 90 Data Science,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Master of Science UZH in Informatics (RVO22)
Minor 30 Informatics,English,,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Master of Science UZH in Informatics (PVO08); Master of Science UZH in Informatics (RVO22); Master of Arts UZH in Business and Economics (RVO22)
Major 150 Economics,"German, English",https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Bachelor of Arts UZH in Business and Economics (RVO22)
Major 150 Business Administration,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Bachelor of Arts UZH in Business and Economics (RVO22)
Major 150 Banking and Finance,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michel Habib,Benjamin Wilding,Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Economics,German,,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Business Administration,German,,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Banking and Finance,German,,,,,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 General Business and Economics,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",,,Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 60 Economics,"German, English",,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Business Administration,"German, English",,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Banking and Finance,"German, English",,,,,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Informatics,"German, English",,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 People-Oriented Computing,English,,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 30 Economics,"German, English",,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Bachelor of Science Faculty of Science (2021)
Minor 30 Business Administration,"German, English",,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Bachelor of Science Faculty of Science (2021)
Minor 30 Banking and Finance,"German, English",,,,,Bachelor of Science Faculty of Science (2021)
Minor 30 Informatics,"German, English",,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Bachelor of Science Faculty of Science (2021)
Minor 30 Mensch und Computer,"German, English",,,,,Bachelor of Science Faculty of Science (2021)
Doctoral Program Theoretical Astrophysics and Cosmology,English,,Faculty of Science,Jaiyul Yoo,Elzbieta Joanna Rembelska,Doctorate Faculty of Science
Major 90 Theoretical Astrophysics and Cosmology (Fast-Track),English,,Faculty of Science,Ravit Helled,Elzbieta Joanna Rembelska,Master of Science Faculty of Science (120) (2021)
Doctoral Program Asia and Europe,"German, English",http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,,,Doctorate Faculty of Law (PVO09)
Individual Doctorate Law,German,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,Doctorate Faculty of Law (PVO09)
Minor 30 BioMed Entrepreneurship,English,,Faculty of Science,Simon Hoerstrup,Jessica Plucain,Master of Science Faculty of Science (120) (2021)
Doctoral Program Veterinary Medicine,English,https://www.vet.uzh.ch/en/studium/doktorat.html,Vetsuisse Faculty,Thomas Lutz,Thomas Lutz,Doctorate Veterinary Medicine with Focus in Natural Sciences
Minor 30 Biodiversity,"German, English",,Faculty of Science,Florian Altermatt,Claudia Hegglin Braun,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 60 Biodiversity,"German, English",,Faculty of Science,Florian Altermatt,Claudia Hegglin Braun,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Major 120 Biodiversity,"German, English",,Faculty of Science,Florian Altermatt,Claudia Hegglin Braun,Bachelor of Science Faculty of Science (2021)
Major 150 Biodiversity,"German, English",,Faculty of Science,Florian Altermatt,Claudia Hegglin Braun,Bachelor of Science Faculty of Science (2021)
Single Major 180 Biodiversity,"German, English",,Faculty of Science,Florian Altermatt,Claudia Hegglin Braun,Bachelor of Science Faculty of Science (2021)
Concentration St. Galler Track,,,Geschäftsstelle UMZH / MeF,,,Bachelor of Medicine
Concentration Luzerner Track,,,Geschäftsstelle UMZH / MeF,,,Bachelor of Medicine
Single Major 90 Quantitative Finance (specialized Master),English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Erich Walter Farkas,Chantal Corinne Jacqueline Spale,Master of Science UZH ETH in Quantitative Finance (RVO22 MSc QF)
Single Major 180 Biochemistry,"English, German",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Bachelor of Science Faculty of Science (2021)
Doctoral Program Computational Science,English,,Faculty of Science,Robert Feldmann,Elzbieta Joanna Rembelska,Doctorate Faculty of Science
Major 90 Earth System Science,English,,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Master of Science Faculty of Science (120) (2021)
Single Major 180 Human Medicine,German,http://www.med.uzh.ch/Medizinstudium/Rechtsgrundlagen.html,Geschäftsstelle UMZH / MeF,,,Bachelor of Medicine
Single Major 180 Dental Medicine,German,https://www.med.uzh.ch/de/Medizinstudium/Rechtsgrundlagen.html,Center of Dental Medicine,,,Bachelor of Dental Medicine
Single Major 120 Dental Medicine,German,http://www.rd.uzh.ch/de/rechtssammlung/kantonale-erlasse/med.html,Center of Dental Medicine,,,Master of Dental Medicine
Single Major 180 JMM-HSG-UZH,,,Faculty of Medicine,,,Joint Medical Master University of St. Gallen
Single Major 180 Biomedicine,"German, English",,Faculty of Science,Lubor Borsig,Sabine Jacob Sempach,Bachelor of Science Faculty of Science (2021)
Minor 30 Biodiversity,"German, English",,Faculty of Science,Florian Altermatt,Claudia Hegglin Braun,Bachelor of Science Faculty of Science (2021)
Minor 60 Biodiversity,"German, English",,Faculty of Science,Florian Altermatt,Claudia Hegglin Braun,Bachelor of Science Faculty of Science (2021)
Teaching Subject Education and Student Engagement,,,School for Transdisciplinary Studies,,,School for Transdisciplinary Studies
Teaching Subject Value-based Innovation,,,School for Transdisciplinary Studies,,,School for Transdisciplinary Studies
Teaching Subject Future Skills,,,School for Transdisciplinary Studies,,,School for Transdisciplinary Studies
Major 90 Italian Literature/Linguistics,Italian,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts (RVO19)
Concentration Biomolecular Track,"German, English",,Faculty of Science,,,Bachelor of Science Faculty of Science (2021)
Doctoral Program Biomedicine,English,,Faculty of Science,Christian Grimm,Andrea Barbara Schmitz-Derron,Doctorate Faculty of Science
Single Major 120 Religion – Economics – Politics,German,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,David Richard Atwood,,Master of Arts in Religion – Economics – Politics (JDP)
Single Major 120 Ancient Judaism (specialized Master's),German,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Konrad Schmid,,Master of Arts in Ancient Judaism (JDP)
Major 90 Ancient Judaism (specialized Master's),German,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Konrad Schmid,,Master of Arts in Ancient Judaism (JDP)
Major Graduate Campus courses and workshops,,,Further Offers,,,Transferable skills for PhD candidates
Major 90 Computational Linguistics and Language Technology,English,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Computational Linguistics,Rico Sennrich,Jeannette Roth,Master of Arts (RVO19)
Single Major 180 JMM-LU-UZH,,,Faculty of Medicine,,,Joint Medical Master University of Lucerne
Single Major 180 Human Medicine,German,,Geschäftsstelle UMZH / MeF,,,Master Human Medicine
Single Major 180 Chiropractic Medicine,German,,Geschäftsstelle UMZH / MeF,,,Master of Chiropractic Medicine
Minor 30 Bioinformatics,English,,Faculty of Science,Andreas Wagner,Karin Isler,Master of Science UZH in Informatics (RVO22)
Major 90 Greek Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Carmen Cardelle,Fabian Zogg,Master of Arts (RVO19)
Major 90 Latin Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Carmen Cardelle,Fabian Zogg,Master of Arts (RVO19)
Major 90 Medieval Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Zentrum Zürcher Mediävistik,Inga Mai Groote,Maximilian Helmut Gamer,Master of Arts (RVO19)
Major 90 Sociology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Sociology,Jörg Rössel,Bettina Isengard,Master of Arts in Social Sciences (RVO19)
Major 90 History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts (RVO19)
Major Comparative and International Studies,English,,Center for Comp. and Int. Studies,,,Master of Arts in Comparative and International Studies (ETH UZH)
Major 90 International Eastern European Studies,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Sylvia Sasse,Daniel Ursprung,Master of Arts (RVO19)
Single Major 90 Computational Science (specialized Master),English,,Faculty of Science,Joachim Gerhard Stadel,Elzbieta Joanna Rembelska,Master of Science Faculty of Science (90) (2021)
Major 90 Computational Science (specialized Master),English,,Faculty of Science,Joachim Gerhard Stadel,Elzbieta Joanna Rembelska,Master of Science Faculty of Science (120) (2021)
Concentration Chiropractic Medicine,German,,Geschäftsstelle UMZH / MeF,,,Bachelor of Medicine
Concentration Human Medicine,German,,Geschäftsstelle UMZH / MeF,,,Bachelor of Medicine
Major 90 Neural Systems and Computation,English,,Faculty of Science,Mehmet Fatih Yanik,Daniel Ch. Kiper,Joint Degree Master of Science UZH ETH in Neural Systems and Computation
Doctoral Program Neuroeconomics,English,,"Faculty of Business, Economics and Informatics",Todd Anthony Hare,Mirjam Britschgi,Doctorate Neuroeconomics (PVO10)
Individual Doctorate Medicine,German,,Geschäftsstelle UMZH / MeF,,,Doctorate Faculty of Medicine
Individual Doctorate Dental Medicine,German,,Center of Dental Medicine,,,Doctorate Faculty of Medicine
Doctoral Program Informatics,English,,"Faculty of Business, Economics and Informatics",Elaine May Huang,Karin Manuela Sigg,Doctorate Informatics (PVO08)
Doctoral Program Informatics (fast track),"English, German",,"Faculty of Business, Economics and Informatics",Elaine May Huang,Karin Manuela Sigg,Doctorate Informatics (PVO08)
Single Major 90 Law,"German, French, English",http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,"MLaw UZH UNIL (Joint Degree Program, RVO21)"
Individual Doctorate Chiropractic Medicine,German,,Geschäftsstelle UMZH / MeF,,,Doctorate Faculty of Medicine
Doctoral Program Systems Biology,English,,Faculty of Science,,,Joint Doctorate at the Faculty of Science of the UZH and the ETH Zurich
Doctoral Program Molecular Life Sciences,English,,Faculty of Science,,,Joint Doctorate at the Faculty of Science of the UZH and the ETH Zurich
Major 120 Sinology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Arts (RVO19)
Individual Doctorate Veterinary Medicine,"German, English",http://www.vet.uzh.ch/en/studium/doktorat/Drmedvet.html,Vetsuisse Faculty,Thomas Lutz,Thomas Lutz,Doctorate Veterinary Medicine
Doctoral Program RNA Biology,English,,Faculty of Science,Frédéric Allain,Isabelle Allen,Doctorate Faculty of Science
Doctoral Program Computational Science,English,,Faculty of Science,Robert Feldmann,Elzbieta Joanna Rembelska,Joint Doctorate at the Faculty of Science of the UZH and the ETH Zurich
Minor 30 Digital Humanities and Text Mining,German,,Faculty of Arts and Social Sciences,Martin Volk,Manfred Klenner,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Science Faculty of Science (2021); Bachelor of Arts UZH in Business and Economics (RVO22)
"Minor 30 History, Society, Politics",German,,Faculty of Arts and Social Sciences,Marco Steenbergen,Petra Holtrup Mostert,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Science Faculty of Science (2021); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Cultural Contexts,German,,Faculty of Arts and Social Sciences,Philipp Theisohn,Charlotte Schweri Litscher,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Science Faculty of Science (2021); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Ethics,German,,Faculty of Arts and Social Sciences,Katia Saporiti,Simon Berwert,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Science Faculty of Science (2021); Bachelor of Arts UZH in Business and Economics (RVO22)
Doctoral Program Veterinary Medicine Science,English,https://www.vet.uzh.ch/en/studium/doktorat/phd.html,Vetsuisse Faculty,Thomas Lutz,Thomas Lutz,PhD of Veterinary Medicine
Doctoral Program Drug Discovery,English,,Faculty of Science,Michael Arand,Olga von Niederhäusern,Doctorate Faculty of Science
Teaching Subject Veranstaltungen Privatdozierende,,,,,,"Veranstaltungen Privatdozierender PHF ausserhalb von Studienprogrammen, nicht anrechenbar an UZH-; Studienabschlüsse"
Major Computational Biology and Bioinformatics,,,Faculty of Science,Christian von Mering,,Joint Degree Master of Science ETH UZH Unibas Computational Biology and Bioinformatics
Doctoral Program Data Science,English,,Faculty of Science,Jan Dirk Wegner,Alessandra Spanu,Doctorate Faculty of Science
Single Major 180 Veterinary Medicine,German,http://www.vet.uzh.ch/de/studium/vetmed/Studienreglement.html,Vetsuisse Faculty,Thomas Lutz,Thomas Lutz,Bachelor of Veterinary Medicine 2021
Single Major 150 Veterinary Medicine,German,http://www.vet.uzh.ch/en/studium/vetmed/Studienreglement.html,Vetsuisse Faculty,Thomas Lutz,Thomas Lutz,Master of Veterinary Medicine 2021
Minor 60 Astronomy and Astrobiology,"English, German",,Faculty of Science,Benjamin Moore,,Bachelor of Science Faculty of Science (2021)
Teaching Subject Veranstaltungen Privatdozierende,,,,,,"Veranstaltungen Privatdozierender THF ausserhalb von Studienprogrammen, nicht anrechenbar an UZH-; Studienabschlüsse"
Major 120 Computational Linguistics and Language Technology,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Computational Linguistics,Rico Sennrich,Jeannette Roth,Bachelor of Arts (RVO19)
Major 120 History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Bachelor of Arts (RVO19)
Major 120 Educational Science,German,http://www.phil.uzh.ch/studium/rechtsgrundlagen.html,Institute of Education,Peter Rieker,Bettina Kunz,Bachelor of Arts (RVO19)
Major 120 Comparative Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Comparative Language Science,Paul Widmer,Lena Dorothea Elisabeth Zipp,Bachelor of Arts (RVO19)
Major 120 Ibero-Romance Literatures and Linguistics,"Spanish, Portuguese",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Bachelor of Arts (RVO19)
Major 90 Evolutionary Language Science,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Comparative Language Science,Paul Widmer,Lena Dorothea Elisabeth Zipp,Page 2 of 2; Master of Arts (RVO19)
Single Major 120 Literary Studies,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Thomas Klinkert,Ayse Zeynep Pamuk,Master of Arts (RVO19)
Major 90 Cultural Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Social Anthropology and Cultural Studies,Bernhard Tschofen,Mischa Elias Gallati Zimmermann,Master of Arts in Social Sciences (RVO19)
Single Major 120 Philosophy,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Philosophy,Katia Saporiti,Simon Berwert,Master of Arts (RVO19)
Major 90 Philosophy,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Philosophy,Katia Saporiti,Simon Berwert,Master of Arts (RVO19)
Major 90 English Literature/Linguistics,English,https://www.phil.uzh.ch/de/studium/dokumente.html,English Department,Barbara Straumann,Martin Mühlheim,Master of Arts (RVO19)
Major 90 Slavonic Literatures/Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Slavonic Languages and Literatures,Sylvia Sasse,Gianna Maria Giulia Frölicher,Master of Arts (RVO19)
Major 90 Musicology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Musicology,Inga Mai Groote,Esma Cerkovnik,Master of Arts (RVO19)
Major 90 Film Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Film Studies,Daniel Johannes Wiegand,Matthias Brütsch,Master of Arts (RVO19)
Single Major 120 Political Science,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Political Science,Marco Steenbergen,Hanno Degner,Master of Arts in Social Sciences (RVO19)
Major 90 Political Science,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Political Science,Marco Steenbergen,Hanno Degner,Master of Arts in Social Sciences (RVO19)
Major 90 Gender Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,Bettina Dennerlein,Monika Gsell,Master of Arts (RVO19)
Major 90 Indian Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Master of Arts (RVO19)
Major 90 Islamic Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Master of Arts (RVO19)
Major 90 Japanese Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Master of Arts (RVO19)
Major 90 Modern Asian and Middle Eastern Studies,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,Angelika Malinar,Kathrin Ensinger,Master of Arts (RVO19)
Major 90 Sinology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Master of Arts (RVO19)
Major 90 French Literature/Linguistics,French,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts (RVO19)
Major 90 Ibero-Romance Literatures/Linguistics,"Spanish, Portuguese",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts (RVO19)
Single Major 120 Ancient Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Andreas Victor Walser,Fabian Zogg,Master of Arts (RVO19)
Major 90 Economic History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Matthieu Leimgruber,Salome Egloff,Master of Arts (RVO19)
Major 90 History of the Contemporary World,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts (RVO19)
Major 120 Archaeologies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Bachelor of Arts (RVO19)
Single Major 120 Archaeological Culture Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Master of Arts (RVO19)
Major 90 Archaeologies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Master of Arts (RVO19)
Major 120 Communication Science and Media Research,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Stefanie Andrea Hangartner,Bachelor of Arts in Social Sciences (RVO 19)
Major 90 Communication Science and Media Research,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Stefanie Andrea Hangartner,Master of Arts in Social Sciences (RVO19)
Major 90 Political Communication &amp; Governance,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Karin Pühringer,Master of Arts in Social Sciences (RVO19)
Major 90 Strategic Communication &amp; Management,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Karin Pühringer,Master of Arts in Social Sciences (RVO19)
Single Major 120 Art History,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Master of Arts (RVO19)
Major 90 Art History,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Master of Arts (RVO19)
Major 90 Art History in a Global Context,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Master of Arts (RVO19)
Major 90 East Asian Art History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Master of Arts (RVO19)
Major 90 German Literature/Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Master of Arts (RVO19)
Major 90 Scandinavian Studies,"German, Danish, Swedish",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Master of Arts (RVO19)
Major 90 Cultural Analysis,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Christine Suzanne Lötscher,Benno Wirz,Master of Arts (RVO19)
Single Major 120 Psychology,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Psychology,Klaus Oberauer,Heike Dele Bull,Master of Science in Psychology (RVO19)
Major 90 Educational Science,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Education,Peter Rieker,Bettina Kunz,Master of Arts (RVO19)
Major 90 Social and Cultural Anthropology,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,,,,Master of Arts in Social Sciences (RVO19)
Single Major 120 Internet &amp; Society,English,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Stefanie Andrea Hangartner,Master of Arts in Social Sciences (RVO19)
Minor 60 Astronomy und Astrobiology,"German, English",,Faculty of Science,Benjamin Moore,,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Major 120 Educational Science and Psychology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Education,Peter Rieker,Bettina Kunz,Bachelor of Arts (RVO19)
Major 90 Educational Science and Psychology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Education,Peter Rieker,Bettina Kunz,Master of Arts (RVO19)
Single Major 120 Italian Studies,Italian,,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts (RVO19)
Minor 60 Philosophy,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Philosophy,Katia Saporiti,Simon Berwert,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19)
Minor 60 Educational Science,German,http://www.phil.uzh.ch/studium/rechtsgrundlagen.html,Institute of Education,Peter Rieker,Bettina Kunz,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 30 Hermeneutics,German,,Faculty of Theology and the Study of Religion,Christiane Tietz,,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 30 Ecclesiastical History,German,,Faculty of Theology and the Study of Religion,Peter Opitz,,Bachelor of Science Faculty of Science (2021); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 15 Ancient Christianity,German,,Faculty of Theology and the Study of Religion,Peter Opitz,,Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Single Major 180 Theology,German,https://www.trf.uzh.ch/studierende/modulkataloge_ba.html,Faculty of Theology and the Study of Religion,Konrad Schmid,,Bachelor of Theology UZH Bologna 2020
Single Major 120 Study of Religions,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Rafael Walthert,,Master of Arts UZH in Study of Religions Bologna 2020
Minor 30 Ethics and Society,,https://www.trf.uzh.ch/studierende/modulkataloge_ba.html,Faculty of Theology and the Study of Religion,Michael Coors,,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Science Faculty of Science (2021); Bachelor of Arts UZH in Business and Economics (RVO22)
