Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Minor 60 Hebrew Language and Literature,,https://www.trf.uzh.ch/studierende/modulkataloge_ba.html,Faculty of Theology and the Study of Religion,Thomas Krüger,,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Hermeneutics,,https://www.trf.uzh.ch/studierende/modulkataloge_ba.html,Faculty of Theology and the Study of Religion,Christiane Tietz,,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Study of Religions,,https://www.trf.uzh.ch/studierende/modulkataloge_ba.html,Faculty of Theology and the Study of Religion,Rafael Walthert,,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Systematic and Practical Theology,,https://www.trf.uzh.ch/studierende/modulkataloge_ba.html,Faculty of Theology and the Study of Religion,Christiane Tietz,,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Major 120 Theology,,https://www.trf.uzh.ch/studierende/modulkataloge_ba.html,Faculty of Theology and the Study of Religion,Konrad Schmid,,Bachelor of Theology UZH Bologna 2020
Major 90 Study of Religions,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Rafael Walthert,,Master of Arts UZH in Study of Religions Bologna 2020
Minor 30 Religions in the Ancient World,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Konrad Schmid,,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Biblical Studies,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Stefan Krauter,,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 History of Christianity,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Tobias Jammerthal,,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Hebrew Language and Literature,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Thomas Krüger,,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Hermeneutics,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Christiane Tietz,,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Study of Religions,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Rafael Walthert,,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Systematic and Practical Theology,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Christiane Tietz,,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
