Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
"Fundamentals of Chemistry, Part 2",CHE102.1,Course,"Cristina Nevado Blazquez, Roland K.O. Sigel, Silke Johannsen",German,"CHE 102 Fundamentals of Chemistry, Part 2",Monday,Morning,10,12
"Exercises Fundamentals of Chemistry, Part 2",CHE102.2,Exercise Group,"Cristina Nevado Blazquez, Roland K.O. Sigel, Silke Johannsen","German, English","CHE 102 Fundamentals of Chemistry, Part 2",Thursday,Morning,10,12
Computer Applications in Chemistry,CHE103.1,Course,"Peter Hamm, Jürg Hutter, Stefano Battaglia","German, English",CHE 103 Computer Applications in Chemistry,Friday,Morning,8,9
Exercises Computer Applications in Chemistry,CHE103.2,Exercise Group,"Peter Hamm, Jürg Hutter, Stefano Battaglia","German, English",CHE 103 Computer Applications in Chemistry,Monday,Afternoon,13,15
Exercises Computer Applications in Chemistry,CHE103.2,Exercise Group,"Peter Hamm, Jürg Hutter, Stefano Battaglia","German, English",CHE 103 Computer Applications in Chemistry,Wednesday,Afternoon,13,15
Environmental Chemistry,CHE104.1,Lecture with Practical Exercises,Kathrin Fenner,German,CHE 104 Environmental Chemistry,Wednesday,Morning,8,9
"Basic Laboratory Course in Chemistry, Part 2 (group 1)",CHE112.1,Practical Training,"Greta R. Patzke, Jan Helbing, Paul Schmutz, Ulrike Wais","German, English","CHE 112 Basic Laboratory Course in Chemistry, Part 2",Tuesday,Afternoon,13,18
"Basic Laboratory Course in Chemistry, Part 2 (group 2)",CHE112.1,Practical Training,"Greta R. Patzke, Jan Helbing, Paul Schmutz, Ulrike Wais","German, English","CHE 112 Basic Laboratory Course in Chemistry, Part 2",Wednesday,Afternoon,13,18
Laboratory Course in Physical Chemistry for the Life Sciences,CHE153.1,Practical Training,Georg Artus,"German, English",CHE 153 Laboratory Course in Physical Chemistry for the Life Sciences,Tuesday,Afternoon,13,17
Proseminar: Social-scientific study of religion\s,55LB000,Proseminar,"Linda Alice Bosshart, Jill Gioia Marxer",German,SWRW Proseminar: Social-scientific study of religion\s,Wednesday,Morning,10,12
"Milo Rau - Kolloquium zur Zürcher Poetikvorlesung (Fortsetzung aus letztem Semester,",360-113a,Student Work,N/A,German,Literature in Switzerland,N/A,N/A,N/A,N/A
"Konrad von Würzburg und Basel (Fortsetzung aus letztem Semester, nicht separat",360-113a,Student Work,N/A,German,Literature in Switzerland,N/A,N/A,N/A,N/A
Linguistik – interdisziplinär (Teil 2),360-501a,Student Work,N/A,German,Theories and Methods,N/A,N/A,N/A,N/A
Physical Chemistry II for the Life Sciences,CHE155.1,Course,Georg Artus,German,CHE 155 Physical Chemistry II for the Life Sciences,Tuesday,Morning,10,12
Exercises Physical Chemistry II for the Life Sciences,CHE155.2,Exercise Group,Georg Artus,"German, English",CHE 155 Physical Chemistry II for the Life Sciences,Thursday,Afternoon,12,13
Exercises Physical Chemistry II for the Life Sciences,CHE155.2,Exercise Group,Georg Artus,"German, English",CHE 155 Physical Chemistry II for the Life Sciences,Wednesday,Afternoon,14,15
Organic Chemistry for the Life Sciences,CHE172.1,Lecture with Practical Exercises,Oliver Zerbe,German,CHE 172 Organic Chemistry for the Life Sciences,Tuesday,Morning,8,9
Inorganic Chemistry II: Structure and Bonding of Inorganic Molecules,CHE202.1,Lecture with Practical Exercises,Thomas Fox,German,CHE 202 Inorganic Chemistry II: Structure and Bonding of Inorganic Molecules,Thursday,Morning,8,9
Organic Chemistry II,CHE204.1,Lecture with Practical Exercises,Michel Rickhaus,English,CHE 204 Organic Chemistry II,Monday,Morning,8,9
